date,district,true,pred
2022-01-19,alipurduar,150.0,97.43788146972656
2022-01-20,alipurduar,153.0,116.32113647460938
2022-01-21,alipurduar,157.0,126.57542419433594
2022-01-22,alipurduar,131.0,135.22796630859375
2022-01-23,alipurduar,160.0,132.82566833496094
2022-01-24,alipurduar,96.0,143.3028564453125
2022-01-25,alipurduar,82.0,125.30741119384766
2022-01-19,bankura,217.0,236.60787963867188
2022-01-20,bankura,281.0,237.01214599609375
2022-01-21,bankura,291.0,269.4742126464844
2022-01-22,bankura,194.99998474121094,275.6274108886719
2022-01-23,bankura,167.0,228.10052490234375
2022-01-24,bankura,175.0,206.7000274658203
2022-01-25,bankura,146.0,200.91387939453125
2022-01-19,birbhum,608.0,370.2029724121094
2022-01-20,birbhum,777.0,565.3911743164062
2022-01-21,birbhum,750.0,664.1714477539062
2022-01-22,birbhum,518.0,658.6383666992188
2022-01-23,birbhum,449.0,554.109375
2022-01-24,birbhum,300.0,536.6039428710938
2022-01-25,birbhum,179.0,395.82452392578125
2022-01-19,coochbehar,159.0,135.3115997314453
2022-01-20,coochbehar,191.0,151.8448028564453
2022-01-21,coochbehar,198.0,178.43482971191406
2022-01-22,coochbehar,221.0,187.33558654785156
2022-01-23,coochbehar,193.0,206.9922637939453
2022-01-24,coochbehar,169.0,189.77560424804688
2022-01-25,coochbehar,139.0,173.13565063476562
2022-01-19,dakshin dinajpur,251.0,190.0272216796875
2022-01-20,dakshin dinajpur,196.00001525878906,233.13839721679688
2022-01-21,dakshin dinajpur,195.0,210.4733123779297
2022-01-22,dakshin dinajpur,220.0,212.1130828857422
2022-01-23,dakshin dinajpur,142.0,227.20314025878906
2022-01-24,dakshin dinajpur,156.0,181.75880432128906
2022-01-25,dakshin dinajpur,120.0,184.6870574951172
2022-01-19,darjeeling,438.0,408.4817199707031
2022-01-20,darjeeling,386.0,441.5956726074219
2022-01-21,darjeeling,504.0,444.6666259765625
2022-01-22,darjeeling,815.0,497.4380187988281
2022-01-23,darjeeling,433.0,619.6477661132812
2022-01-24,darjeeling,241.0,522.3214721679688
2022-01-25,darjeeling,322.0,443.1680908203125
2022-01-19,hooghly,545.0,547.675537109375
2022-01-20,hooghly,469.0,587.2994384765625
2022-01-21,hooghly,341.0,546.4519653320312
2022-01-22,hooghly,333.0,476.9599304199219
2022-01-23,hooghly,235.0,498.9193115234375
2022-01-24,hooghly,280.0,405.9100341796875
2022-01-25,hooghly,209.00001525878906,443.6532897949219
2022-01-19,howrah,513.0,364.4023742675781
2022-01-20,howrah,518.0,467.7376403808594
2022-01-21,howrah,344.0,512.4540405273438
2022-01-22,howrah,341.0,411.4095153808594
2022-01-23,howrah,221.0,433.0712585449219
2022-01-24,howrah,172.0,346.4713134765625
2022-01-25,howrah,144.0,312.08770751953125
2022-01-19,jalpaiguri,434.0,209.20574951171875
2022-01-20,jalpaiguri,468.0,303.6541442871094
2022-01-21,jalpaiguri,310.0,335.32208251953125
2022-01-22,jalpaiguri,330.0,299.7400817871094
2022-01-23,jalpaiguri,219.99998474121094,312.5991516113281
2022-01-24,jalpaiguri,295.0,265.09735107421875
2022-01-25,jalpaiguri,217.99998474121094,285.8885192871094
2022-01-19,jhargram,91.0,235.97882080078125
