date,district,true,pred
2022-01-19,alipurduar,150.0,96.5180892944336
2022-01-20,alipurduar,153.0,116.36527252197266
2022-01-21,alipurduar,157.0,126.9130859375
2022-01-22,alipurduar,131.0,135.92832946777344
2022-01-23,alipurduar,160.0,132.83999633789062
2022-01-24,alipurduar,96.0,144.46778869628906
2022-01-25,alipurduar,82.0,124.54960632324219
2022-01-19,bankura,217.0,239.60263061523438
2022-01-20,bankura,281.0,244.18508911132812
2022-01-21,bankura,291.0,275.34478759765625
2022-01-22,bankura,194.99998474121094,284.0625915527344
2022-01-23,bankura,167.0,248.08316040039062
2022-01-24,bankura,175.0,229.4169921875
2022-01-25,bankura,146.0,222.75694274902344
2022-01-19,birbhum,608.0,440.53289794921875
2022-01-20,birbhum,777.0,581.09228515625
2022-01-21,birbhum,750.0,638.968505859375
2022-01-22,birbhum,518.0,629.5686645507812
2022-01-23,birbhum,449.0,562.447021484375
2022-01-24,birbhum,300.0,565.1377563476562
2022-01-25,birbhum,179.0,405.7726745605469
2022-01-19,coochbehar,159.0,133.6168670654297
2022-01-20,coochbehar,191.0,149.8389434814453
2022-01-21,coochbehar,198.0,175.8275146484375
2022-01-22,coochbehar,221.0,184.9456024169922
2022-01-23,coochbehar,193.0,204.32855224609375
2022-01-24,coochbehar,169.0,187.1445770263672
2022-01-25,coochbehar,139.0,169.97947692871094
2022-01-19,dakshin dinajpur,251.0,192.88320922851562
2022-01-20,dakshin dinajpur,196.00001525878906,239.34645080566406
2022-01-21,dakshin dinajpur,195.0,212.64747619628906
2022-01-22,dakshin dinajpur,220.0,213.2294464111328
2022-01-23,dakshin dinajpur,142.0,227.73184204101562
2022-01-24,dakshin dinajpur,156.0,180.54188537597656
2022-01-25,dakshin dinajpur,120.0,179.9451446533203
2022-01-19,darjeeling,438.0,395.429931640625
2022-01-20,darjeeling,386.0,416.5656433105469
2022-01-21,darjeeling,504.0,417.1722412109375
2022-01-22,darjeeling,815.0,509.22222900390625
2022-01-23,darjeeling,433.0,610.5773315429688
2022-01-24,darjeeling,241.0,487.1222229003906
2022-01-25,darjeeling,322.0,392.4049987792969
2022-01-19,hooghly,545.0,605.9733276367188
2022-01-20,hooghly,469.0,624.3282470703125
2022-01-21,hooghly,341.0,579.593994140625
