,date,district,true,pred
0,2022-01-19,alipurduar,150,92.82
1,2022-01-20,alipurduar,153,112.98
2,2022-01-21,alipurduar,157,111.5
3,2022-01-22,alipurduar,131,123.33
4,2022-01-23,alipurduar,160,117.6
5,2022-01-24,alipurduar,96,114.77
6,2022-01-25,alipurduar,82,123.12
7,2022-01-19,bankura,217,239.92
8,2022-01-20,bankura,281,240.42
9,2022-01-21,bankura,291,289.52
10,2022-01-22,bankura,195,324.75
11,2022-01-23,bankura,167,231.41
12,2022-01-24,bankura,175,191.33
13,2022-01-25,bankura,146,198.11
14,2022-01-19,birbhum,608,408.34
15,2022-01-20,birbhum,777,698.81
16,2022-01-21,birbhum,750,678.29
17,2022-01-22,birbhum,518,693.05
18,2022-01-23,birbhum,449,481.27
19,2022-01-24,birbhum,300,424.58
20,2022-01-25,birbhum,179,392.7
21,2022-01-19,coochbehar,159,154.69
22,2022-01-20,coochbehar,191,164.88
23,2022-01-21,coochbehar,198,174.75
24,2022-01-22,coochbehar,221,180.53
25,2022-01-23,coochbehar,193,186.37
26,2022-01-24,coochbehar,169,188.13
27,2022-01-25,coochbehar,139,199.38
28,2022-01-19,dakshin dinajpur,251,197.33
29,2022-01-20,dakshin dinajpur,196,201.12
30,2022-01-21,dakshin dinajpur,195,224.99
31,2022-01-22,dakshin dinajpur,220,192.2
32,2022-01-23,dakshin dinajpur,142,204.86
33,2022-01-24,dakshin dinajpur,156,192.5
34,2022-01-25,dakshin dinajpur,120,182.87
35,2022-01-19,darjeeling,438,345.11
36,2022-01-20,darjeeling,386,358.82
37,2022-01-21,darjeeling,504,450.81
38,2022-01-22,darjeeling,815,486.75
39,2022-01-23,darjeeling,433,540.39
40,2022-01-24,darjeeling,241,499.24
41,2022-01-25,darjeeling,322,418.96
42,2022-01-19,hooghly,545,549.25
43,2022-01-20,hooghly,469,527.21
44,2022-01-21,hooghly,341,510.54
45,2022-01-22,hooghly,333,399.47
46,2022-01-23,hooghly,235,348.35
47,2022-01-24,hooghly,280,274.95
48,2022-01-25,hooghly,209,298.35
49,2022-01-19,howrah,513,433.99
50,2022-01-20,howrah,518,494.67
51,2022-01-21,howrah,344,485.02
52,2022-01-22,howrah,341,392.47
53,2022-01-23,howrah,221,389.3
54,2022-01-24,howrah,172,261.39
55,2022-01-25,howrah,144,203.73
56,2022-01-19,jalpaiguri,434,259.25
57,2022-01-20,jalpaiguri,468,286.33
58,2022-01-21,jalpaiguri,310,370.38
59,2022-01-22,jalpaiguri,330,360.0
60,2022-01-23,jalpaiguri,220,279.73
61,2022-01-24,jalpaiguri,295,277.9
62,2022-01-25,jalpaiguri,218,288.28
63,2022-01-19,jhargram,91,169.69
64,2022-01-20,jhargram,103,133.97
65,2022-01-21,jhargram,89,139.04
66,2022-01-22,jhargram,81,133.6
67,2022-01-23,jhargram,67,94.99
68,2022-01-24,jhargram,52,82.38
69,2022-01-25,jhargram,70,77.99
70,2022-01-19,kalimpong,26,29.9
71,2022-01-20,kalimpong,76,35.38
72,2022-01-21,kalimpong,58,38.95
73,2022-01-22,kalimpong,74,56.9
74,2022-01-23,kalimpong,146,64.5
75,2022-01-24,kalimpong,2,72.51
76,2022-01-25,kalimpong,36,53.56
77,2022-01-19,kolkata,2154,2292.56
78,2022-01-20,kolkata,1759,2309.27
79,2022-01-21,kolkata,1375,1877.53
80,2022-01-22,kolkata,1489,1665.31
81,2022-01-23,kolkata,973,1792.79
82,2022-01-24,kolkata,496,978.48
83,2022-01-25,kolkata,591,631.02
84,2022-01-19,malda,383,479.72
85,2022-01-20,malda,480,503.05
86,2022-01-21,malda,349,475.39
87,2022-01-22,malda,455,424.78
88,2022-01-23,malda,313,459.47
89,2022-01-24,malda,91,392.38
90,2022-01-25,malda,301,194.41
91,2022-01-19,murshidabad,251,256.64
92,2022-01-20,murshidabad,272,239.06
93,2022-01-21,murshidabad,332,288.47
94,2022-01-22,murshidabad,166,328.86
95,2022-01-23,murshidabad,262,228.71
96,2022-01-24,murshidabad,118,234.24
97,2022-01-25,murshidabad,118,200.21
98,2022-01-19,nadia,681,236.99
99,2022-01-20,nadia,530,633.42
100,2022-01-21,nadia,414,563.73
101,2022-01-22,nadia,392,531.14
102,2022-01-23,nadia,340,509.7
103,2022-01-24,nadia,250,354.61
104,2022-01-25,nadia,103,249.89
105,2022-01-19,north 24 parganas,1798,1856.98
106,2022-01-20,north 24 parganas,1747,1810.12
107,2022-01-21,north 24 parganas,1317,1803.18
108,2022-01-22,north 24 parganas,1360,1456.13
109,2022-01-23,north 24 parganas,960,1470.87
110,2022-01-24,north 24 parganas,678,942.64
111,2022-01-25,north 24 parganas,583,714.52
112,2022-01-19,paschim bardhaman,417,452.11
113,2022-01-20,paschim bardhaman,399,441.74
114,2022-01-21,paschim bardhaman,345,441.51
115,2022-01-22,paschim bardhaman,180,369.37
116,2022-01-23,paschim bardhaman,258,249.03
117,2022-01-24,paschim bardhaman,134,232.32
118,2022-01-25,paschim bardhaman,82,158.79
119,2022-01-19,paschim medinipur,241,264.89
120,2022-01-20,paschim medinipur,234,280.41
121,2022-01-21,paschim medinipur,171,260.78
122,2022-01-22,paschim medinipur,221,253.65
123,2022-01-23,paschim medinipur,146,233.79
124,2022-01-24,paschim medinipur,198,183.94
125,2022-01-25,paschim medinipur,171,232.79
126,2022-01-19,purba bardhaman,554,455.01
127,2022-01-20,purba bardhaman,563,477.01
128,2022-01-21,purba bardhaman,421,561.46
129,2022-01-22,purba bardhaman,463,546.32
130,2022-01-23,purba bardhaman,399,493.8
131,2022-01-24,purba bardhaman,153,464.4
132,2022-01-25,purba bardhaman,137,216.22
133,2022-01-19,purba medinipur,141,191.01
134,2022-01-20,purba medinipur,154,156.9
135,2022-01-21,purba medinipur,135,162.95
136,2022-01-22,purba medinipur,112,168.2
137,2022-01-23,purba medinipur,107,176.23
138,2022-01-24,purba medinipur,48,168.15
139,2022-01-25,purba medinipur,75,109.6
140,2022-01-19,purulia,250,131.13
141,2022-01-20,purulia,193,193.99
142,2022-01-21,purulia,174,179.92
143,2022-01-22,purulia,158,192.63
144,2022-01-23,purulia,145,170.08
145,2022-01-24,purulia,70,176.93
146,2022-01-25,purulia,78,131.77
147,2022-01-19,south 24 parganas,888,690.95
148,2022-01-20,south 24 parganas,750,873.66
149,2022-01-21,south 24 parganas,605,796.49
150,2022-01-22,south 24 parganas,731,716.06
151,2022-01-23,south 24 parganas,484,714.32
152,2022-01-24,south 24 parganas,278,590.03
153,2022-01-25,south 24 parganas,423,318.08
154,2022-01-19,total,11447,10823.24
155,2022-01-20,total,10959,11252.05
156,2022-01-21,total,9154,11320.24
157,2022-01-22,total,9191,10390.5
158,2022-01-23,total,6980,10528.94
159,2022-01-24,total,4546,7467.53
160,2022-01-25,total,4494,5856.47
161,2022-01-19,uttar dinajpur,257,325.26
162,2022-01-20,uttar dinajpur,260,352.8
163,2022-01-21,uttar dinajpur,279,344.88
164,2022-01-22,uttar dinajpur,205,321.86
165,2022-01-23,uttar dinajpur,160,323.73
166,2022-01-24,uttar dinajpur,94,319.63
167,2022-01-25,uttar dinajpur,167,199.32
