,date,district,true,pred
0,2022-01-19,alipurduar,150.0,95.12897491455078
1,2022-01-20,alipurduar,153.0,115.41615295410156
2,2022-01-21,alipurduar,157.0,126.88385772705078
3,2022-01-22,alipurduar,131.0,136.73741149902344
4,2022-01-23,alipurduar,160.0,134.04132080078125
5,2022-01-24,alipurduar,96.0,146.25584411621094
6,2022-01-25,alipurduar,82.0,125.80673217773438
7,2022-01-19,bankura,217.0,238.1540069580078
8,2022-01-20,bankura,281.0,242.13258361816406
9,2022-01-21,bankura,291.0,277.0204772949219
10,2022-01-22,bankura,194.99998474121094,286.1035461425781
11,2022-01-23,bankura,167.0,244.14295959472656
12,2022-01-24,bankura,175.0,224.6343231201172
13,2022-01-25,bankura,146.0,219.5458526611328
14,2022-01-19,birbhum,608.0,399.4818420410156
15,2022-01-20,birbhum,777.0,569.9452514648438
16,2022-01-21,birbhum,750.0,645.2779541015625
17,2022-01-22,birbhum,518.0,635.8021850585938
18,2022-01-23,birbhum,449.0,549.734130859375
19,2022-01-24,birbhum,300.0,547.0689697265625
20,2022-01-25,birbhum,179.0,384.00775146484375
21,2022-01-19,coochbehar,159.0,131.88462829589844
22,2022-01-20,coochbehar,191.0,148.016357421875
23,2022-01-21,coochbehar,198.0,173.2829132080078
24,2022-01-22,coochbehar,221.0,182.86724853515625
25,2022-01-23,coochbehar,193.0,201.87066650390625
26,2022-01-24,coochbehar,169.0,186.8708038330078
27,2022-01-25,coochbehar,139.0,171.37799072265625
28,2022-01-19,dakshin dinajpur,251.0,192.63819885253906
29,2022-01-20,dakshin dinajpur,196.00001525878906,237.41807556152344
30,2022-01-21,dakshin dinajpur,195.0,212.9441680908203
31,2022-01-22,dakshin dinajpur,220.0,214.0006103515625
32,2022-01-23,dakshin dinajpur,142.0,229.0375518798828
33,2022-01-24,dakshin dinajpur,156.0,180.56259155273438
34,2022-01-25,dakshin dinajpur,120.0,183.0555419921875
35,2022-01-19,darjeeling,438.0,394.3216552734375
36,2022-01-20,darjeeling,386.0,424.1592712402344
37,2022-01-21,darjeeling,504.0,425.684814453125
38,2022-01-22,darjeeling,815.0,502.2621154785156
39,2022-01-23,darjeeling,433.0,633.69384765625
40,2022-01-24,darjeeling,241.0,506.2456970214844
41,2022-01-25,darjeeling,322.0,414.68585205078125
42,2022-01-19,hooghly,545.0,594.5836791992188
43,2022-01-20,hooghly,469.0,618.6357421875
44,2022-01-21,hooghly,341.0,573.8731689453125
45,2022-01-22,hooghly,333.0,505.3378601074219
46,2022-01-23,hooghly,235.0,523.2823486328125
47,2022-01-24,hooghly,280.0,424.9261474609375
48,2022-01-25,hooghly,209.00001525878906,454.3316345214844
49,2022-01-19,howrah,513.0,517.245849609375
50,2022-01-20,howrah,518.0,587.7499389648438
51,2022-01-21,howrah,344.0,591.677734375
52,2022-01-22,howrah,341.0,572.2628784179688
53,2022-01-23,howrah,221.0,545.7422485351562
54,2022-01-24,howrah,172.0,458.27752685546875
55,2022-01-25,howrah,144.0,388.0141906738281
56,2022-01-19,jalpaiguri,434.0,201.24171447753906
57,2022-01-20,jalpaiguri,468.0,301.9554443359375
58,2022-01-21,jalpaiguri,310.0,334.9693908691406
59,2022-01-22,jalpaiguri,330.0,293.6482238769531
60,2022-01-23,jalpaiguri,219.99998474121094,308.4827880859375
61,2022-01-24,jalpaiguri,295.0,258.531005859375
62,2022-01-25,jalpaiguri,217.99998474121094,283.14678955078125
63,2022-01-19,jhargram,91.0,246.29685974121094
64,2022-01-20,jhargram,103.0,180.54942321777344
65,2022-01-21,jhargram,89.0,184.40707397460938
66,2022-01-22,jhargram,81.0,136.52996826171875
67,2022-01-23,jhargram,67.0,164.2135772705078
68,2022-01-24,jhargram,52.0,148.44512939453125
69,2022-01-25,jhargram,70.0,130.678955078125
70,2022-01-19,kalimpong,26.0,34.62653732299805
71,2022-01-20,kalimpong,76.0,35.04887008666992
72,2022-01-21,kalimpong,58.0,47.88261413574219
73,2022-01-22,kalimpong,74.0,48.72990036010742
74,2022-01-23,kalimpong,146.0,55.50802230834961
75,2022-01-24,kalimpong,2.0,74.46574401855469
76,2022-01-25,kalimpong,36.0,52.813072204589844
77,2022-01-19,kolkata,2154.0,2416.563720703125
78,2022-01-20,kolkata,1759.0,2523.302734375
79,2022-01-21,kolkata,1375.0,2308.370361328125
80,2022-01-22,kolkata,1489.0,2033.8660888671875
81,2022-01-23,kolkata,973.0,2137.114013671875
82,2022-01-24,kolkata,496.0,1831.7567138671875
83,2022-01-25,kolkata,591.0,1442.4803466796875
84,2022-01-19,malda,383.0000305175781,573.1735229492188
85,2022-01-20,malda,480.0,498.93328857421875
86,2022-01-21,malda,349.0,556.4570922851562
87,2022-01-22,malda,455.0000305175781,500.4000244140625
88,2022-01-23,malda,313.0,533.8074340820312
89,2022-01-24,malda,91.0,460.81732177734375
90,2022-01-25,malda,301.0,339.2958068847656
91,2022-01-19,murshidabad,251.0,234.21865844726562
92,2022-01-20,murshidabad,272.0,262.76336669921875
93,2022-01-21,murshidabad,332.0,280.95684814453125
94,2022-01-22,murshidabad,166.0,312.70367431640625
95,2022-01-23,murshidabad,262.0,245.70166015625
96,2022-01-24,murshidabad,118.0,279.0190124511719
97,2022-01-25,murshidabad,118.0,212.7375946044922
98,2022-01-19,nadia,681.0,344.3997497558594
99,2022-01-20,nadia,530.0,586.1956176757812
100,2022-01-21,nadia,414.0,532.0186157226562
101,2022-01-22,nadia,392.0,478.6496887207031
102,2022-01-23,nadia,340.0,467.3576965332031
103,2022-01-24,nadia,250.0,431.0514831542969
104,2022-01-25,nadia,103.0,372.5888977050781
105,2022-01-19,north 24 parganas,1798.0,2029.5750732421875
106,2022-01-20,north 24 parganas,1747.0,2107.87109375
107,2022-01-21,north 24 parganas,1317.0,2198.398193359375
108,2022-01-22,north 24 parganas,1360.0,1854.2857666015625
109,2022-01-23,north 24 parganas,960.0,1876.199462890625
110,2022-01-24,north 24 parganas,678.0,1608.8367919921875
111,2022-01-25,north 24 parganas,583.0,1498.017578125
112,2022-01-19,paschim bardhaman,417.0,485.4229736328125
113,2022-01-20,paschim bardhaman,399.0,516.669677734375
114,2022-01-21,paschim bardhaman,345.0,552.1182250976562
115,2022-01-22,paschim bardhaman,180.0,483.4936218261719
116,2022-01-23,paschim bardhaman,258.0,393.6087951660156
117,2022-01-24,paschim bardhaman,134.0,423.5768737792969
118,2022-01-25,paschim bardhaman,82.00000762939453,340.97088623046875
119,2022-01-19,paschim medinipur,241.0,307.84063720703125
120,2022-01-20,paschim medinipur,234.0,291.2261657714844
121,2022-01-21,paschim medinipur,171.0,297.2968444824219
122,2022-01-22,paschim medinipur,221.0,250.74423217773438
123,2022-01-23,paschim medinipur,146.0,274.71441650390625
124,2022-01-24,paschim medinipur,198.0,218.94769287109375
125,2022-01-25,paschim medinipur,171.0,238.41444396972656
126,2022-01-19,purba bardhaman,554.0,445.1268615722656
127,2022-01-20,purba bardhaman,563.0,534.9368286132812
128,2022-01-21,purba bardhaman,421.0,557.92724609375
129,2022-01-22,purba bardhaman,463.0,491.5010986328125
130,2022-01-23,purba bardhaman,399.0,511.1756896972656
131,2022-01-24,purba bardhaman,153.0,468.8673095703125
132,2022-01-25,purba bardhaman,137.0,338.8424377441406
133,2022-01-19,purba medinipur,141.0,161.1638641357422
134,2022-01-20,purba medinipur,154.0,165.6169891357422
135,2022-01-21,purba medinipur,135.0,161.85475158691406
136,2022-01-22,purba medinipur,112.0,161.94972229003906
137,2022-01-23,purba medinipur,107.0,151.72549438476562
138,2022-01-24,purba medinipur,48.0,138.6432342529297
139,2022-01-25,purba medinipur,75.0,120.33313751220703
140,2022-01-19,purulia,250.0,104.31878662109375
141,2022-01-20,purulia,193.00001525878906,204.28512573242188
142,2022-01-21,purulia,174.0,175.2345428466797
143,2022-01-22,purulia,158.0,160.67431640625
144,2022-01-23,purulia,145.0,149.3529052734375
145,2022-01-24,purulia,70.0,138.4495086669922
146,2022-01-25,purulia,77.99999237060547,92.39248657226562
147,2022-01-19,south 24 parganas,888.0,884.702392578125
148,2022-01-20,south 24 parganas,750.0,887.8177490234375
149,2022-01-21,south 24 parganas,605.0,828.3677368164062
150,2022-01-22,south 24 parganas,731.0,772.9986572265625
151,2022-01-23,south 24 parganas,484.0000305175781,810.3482055664062
152,2022-01-24,south 24 parganas,278.0,661.7298583984375
153,2022-01-25,south 24 parganas,423.0000305175781,567.7728881835938
154,2022-01-19,total,11447.0,11556.642578125
155,2022-01-20,total,10959.0,12491.99609375
156,2022-01-21,total,9154.0,12586.2353515625
157,2022-01-22,total,9191.0,11698.92578125
158,2022-01-23,total,6980.0,11732.75390625
159,2022-01-24,total,4546.0,10348.5888671875
160,2022-01-25,total,4494.0,8799.123046875
161,2022-01-19,uttar dinajpur,257.0,396.5816345214844
162,2022-01-20,uttar dinajpur,260.0,317.10693359375
163,2022-01-21,uttar dinajpur,279.0,319.9435729980469
164,2022-01-22,uttar dinajpur,205.0,335.35357666015625
165,2022-01-23,uttar dinajpur,160.0,299.8081359863281
166,2022-01-24,uttar dinajpur,94.0,264.2129821777344
167,2022-01-25,uttar dinajpur,167.0,205.44400024414062
