,date,district,true,pred
0,2022-01-19,alipurduar,150.0,49.75281
1,2022-01-20,alipurduar,153.0,31.68517
2,2022-01-21,alipurduar,157.0,31.434185
3,2022-01-22,alipurduar,131.0,27.473772
4,2022-01-23,alipurduar,160.0,19.996826
5,2022-01-24,alipurduar,96.0,16.830765
6,2022-01-25,alipurduar,82.0,12.825283
7,2022-01-19,bankura,217.0,343.37125
8,2022-01-20,bankura,281.0,306.6944
9,2022-01-21,bankura,291.0,262.24643
10,2022-01-22,bankura,195.0,178.91336
11,2022-01-23,bankura,167.0,217.31082
12,2022-01-24,bankura,175.0,143.06624
13,2022-01-25,bankura,146.0,156.4299
14,2022-01-19,birbhum,608.0,801.5094
15,2022-01-20,birbhum,777.0,851.1998
16,2022-01-21,birbhum,750.0,873.5031
17,2022-01-22,birbhum,518.0,864.7998
18,2022-01-23,birbhum,449.0,917.28107
19,2022-01-24,birbhum,300.0,1007.9219
20,2022-01-25,birbhum,179.0,909.3749
21,2022-01-19,coochbehar,159.0,74.54691
22,2022-01-20,coochbehar,191.0,66.19051
23,2022-01-21,coochbehar,198.0,58.58712
24,2022-01-22,coochbehar,221.0,43.357277
25,2022-01-23,coochbehar,193.0,43.2064
26,2022-01-24,coochbehar,169.0,39.804924
27,2022-01-25,coochbehar,139.0,27.44591
28,2022-01-19,dakshin dinajpur,251.0,205.65253
29,2022-01-20,dakshin dinajpur,196.0,235.15129
30,2022-01-21,dakshin dinajpur,195.0,219.59438
31,2022-01-22,dakshin dinajpur,220.0,180.43799
32,2022-01-23,dakshin dinajpur,142.0,154.94269
33,2022-01-24,dakshin dinajpur,156.0,96.51298
34,2022-01-25,dakshin dinajpur,120.0,58.417698
35,2022-01-19,darjeeling,438.0,612.467
36,2022-01-20,darjeeling,386.0,500.42197
37,2022-01-21,darjeeling,504.0,455.2019
38,2022-01-22,darjeeling,815.0,385.7352
39,2022-01-23,darjeeling,433.0,334.74924
40,2022-01-24,darjeeling,241.0,271.79697
41,2022-01-25,darjeeling,322.0,214.92816
42,2022-01-19,hooghly,545.0,1163.3851
43,2022-01-20,hooghly,469.0,1132.0253
44,2022-01-21,hooghly,341.0,1276.4053
45,2022-01-22,hooghly,333.0,1141.915
46,2022-01-23,hooghly,235.0,1082.844
47,2022-01-24,hooghly,280.0,948.42865
48,2022-01-25,hooghly,209.0,857.02167
49,2022-01-19,jalpaiguri,434.0,159.40907
50,2022-01-20,jalpaiguri,468.0,132.79356
51,2022-01-21,jalpaiguri,310.0,142.24426
52,2022-01-22,jalpaiguri,330.0,96.45983
53,2022-01-23,jalpaiguri,220.0,86.6306
54,2022-01-24,jalpaiguri,295.0,66.45889
55,2022-01-25,jalpaiguri,218.0,49.315346
56,2022-01-19,jhargram,91.0,232.80879
57,2022-01-20,jhargram,103.0,261.08154
58,2022-01-21,jhargram,89.0,265.77124
59,2022-01-22,jhargram,81.0,251.2105
60,2022-01-23,jhargram,67.0,222.17897
